id,site_ID,expand_name,location,sponsor,revenue,owner,year,traffic,Media Type,type
287,287,Wikispooks,Unknown,donations,donations,Unknown,2010,Unknown,Unknown,conspiracy 
288,288,The Last Refuge,USA,advertising/donations,mixed,Unknown,Unknown,Medium,Website,politics
289,289,Outraged Patriot,Unknown,advertising,advertising,Unknown,2019,Unknown,Unknown,politics
290,290,Personal Liberty,USA,advertising,advertising,Bob Livingston,2003,Unknown,Unknown,conspiracy 
291,291,Bipartisan Report,USA,advertising,advertising,Unknown,2012,Medium,Website,politics
292,292,Project Veritas,USA,organization,organization,James O’Keefe,2010,Medium,Website,politics
293,293,NaturalNewsBlogs,USA,advertising/donations/sales,mixed,Mike Adams,Unknown,Unknown,Unknown,conspiracy 
294,294,Climate Etc,USA,donations,donations,Unknown,Unknown,Medium,Website,pseudoscience 
295,295,Goop,USA,advertising/sales,mixed,Gweneth Paltrow,2008,Unknown,Unknown,pseudoscience 
296,296,Competitive Enterprise Institute,USA,organization,organization,Competitive Enterprise Institute,1984,Unknown,Unknown,pseudoscience 
297,297,Independent Minute,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,conspiracy 
298,298,The New Yorker,,,,,,,,mega
299,299,The Stream,USA,organization,organization,"Life Outreach International Association of Churches,",2015,Medium,Organization/Foundation,politics
300,300,Food Babe,USA,advertising/sales,mixed,Vani Deva Hari ,2011,Minimal,Website,pseudoscience 
301,301,The Unz Review,USA,Unknown,Unknown,Unknown,2013,Unknown,Unknown,politics
302,302,Black Eye Politics,Unknown,advertising,advertising,Unknown,2018,Unknown,Unknown,politics
